Model,Method,Confidence Level,Coverage,Average Interval Width,Residual Mean,Residual Standard Deviation
Random Forest,Gaussian Residual,0.8,0.7993366500829188,7.547249695601039,0.49793360842167184,2.9445751144604952
Random Forest,Gaussian Residual,0.9,0.8839137645107794,9.686790113702784,0.49793360842167184,2.9445751144604952
Random Forest,Gaussian Residual,0.95,0.9303482587064676,11.542522348230955,0.49793360842167184,2.9445751144604952
XGBoost,Gaussian Residual,0.8,0.7976782752902156,7.407330797467182,0.5179909053434961,2.889985466296632
XGBoost,Gaussian Residual,0.9,0.8805970149253731,9.507206152150117,0.5179909053434961,2.889985466296632
XGBoost,Gaussian Residual,0.95,0.9303482587064676,11.328534859571187,0.5179909053434961,2.889985466296632
MLP,Gaussian Residual,0.8,0.8126036484245439,7.451382849668574,0.3532032472713057,2.9071724657845035
MLP,Gaussian Residual,0.9,0.8922056384742952,9.563746349038189,0.3532032472713057,2.9071724657845035
MLP,Gaussian Residual,0.95,0.9270315091210614,11.395906659568261,0.3532032472713057,2.9071724657845035
